beta,size,network,seed,realization,times
0.5,0.0,Albany,12193,8,"[91.9, 120.6, 134.2, 148.0, 164.9, 182.0, 221.5, 251.3, 315.0, 2187.8]"
0.5,0.0,Albany,12193,9,"[62.7, 92.1, 119.8, 137.9, 151.0, 174.0, 203.4, 253.6, 302.7, 5079.4]"
0.5,0.0,Albany,12193,10,"[86.9, 131.7, 173.9, 182.8, 197.4, 216.8, 247.8, 293.0, 389.5, 3482.9]"
0.5,0.0,Albany,12193,11,"[91.5, 109.6, 122.4, 137.6, 153.6, 178.2, 209.9, 252.7, 360.2, 968.5]"
0.5,0.0,Albany,12193,12,"[101.9, 112.6, 126.2, 141.3, 162.6, 178.8, 210.8, 268.1, 339.1, 2600.2]"
0.5,0.0,Albany,12193,13,"[110.7, 123.4, 139.7, 152.4, 168.0, 190.7, 229.7, 274.9, 343.7, 4550.8]"
0.5,0.0,Albany,12193,14,"[70.7, 139.9, 202.1, 215.9, 226.2, 238.5, 254.0, 288.0, 371.9, 1731.1]"
0.5,0.0,Albany,12193,15,"[50.7, 78.5, 97.0, 112.6, 129.2, 144.2, 183.8, 216.5, 266.5, 4003.3]"
0.5,0.0,Albany,12193,16,"[127.7, 166.2, 180.1, 192.4, 208.2, 233.1, 268.5, 300.0, 347.6, 3045.8]"
0.5,0.0,Albany,12193,17,"[148.4, 176.3, 195.8, 214.4, 234.1, 256.1, 273.4, 295.5, 367.0, 2542.5]"
0.5,0.0,Albany,12193,18,"[93.1, 108.8, 115.1, 125.5, 144.2, 162.0, 179.3, 214.1, 267.4, 2414.5]"
0.5,0.0,Albany,12193,19,"[104.5, 127.2, 147.6, 160.4, 180.9, 215.3, 260.8, 318.7, 389.5, 2660.8]"
0.5,0.0,Albany,12193,20,"[66.6, 100.9, 147.2, 169.0, 185.5, 201.9, 220.2, 268.0, 331.1, 1182.4]"
0.5,0.0,Albany,12193,21,"[64.8, 92.1, 103.3, 115.5, 135.4, 156.7, 171.6, 203.3, 276.7, 1550.6]"
0.5,0.0,Albany,12193,22,"[143.2, 160.5, 171.6, 182.8, 199.2, 220.1, 246.8, 269.5, 335.2, 3283.3]"
0.5,0.0,Albany,12193,23,"[63.7, 95.1, 105.1, 122.2, 146.2, 170.9, 200.9, 268.4, 341.2, 2909.3]"
0.5,0.0,Albany,12193,24,"[51.1, 114.6, 153.0, 165.5, 174.9, 199.1, 241.9, 278.7, 333.4, 5262.7]"
0.5,0.0,Albany,12193,25,"[95.4, 130.2, 147.3, 159.4, 169.6, 186.4, 219.1, 258.8, 351.2, 10901.3]"
0.5,0.0,Albany,12193,26,"[103.6, 133.5, 159.7, 164.6, 178.8, 202.7, 238.5, 279.7, 354.8, 6339.5]"
0.5,0.0,Albany,12193,27,"[154.1, 200.1, 214.0, 224.5, 238.3, 267.1, 300.6, 342.5, 404.7, 7635.2]"
0.5,0.0,Albany,12193,28,"[62.2, 79.5, 93.9, 112.9, 131.4, 149.6, 174.4, 212.9, 266.4, 2731.7]"
0.5,0.0,Albany,12193,29,"[84.5, 95.3, 107.2, 122.1, 144.4, 167.8, 198.0, 236.6, 314.0, 2664.0]"
0.5,0.0,Albany,12186,0,"[100.5, 111.4, 124.5, 135.6, 150.8, 164.0, 181.7, 215.5, 318.1, 1725.0]"
0.5,0.0,Albany,12186,1,"[74.8, 91.4, 106.1, 121.0, 138.0, 154.7, 175.1, 200.2, 262.1, 1018.9]"
0.5,0.0,Albany,12186,2,"[53.6, 64.9, 79.4, 92.4, 106.7, 123.8, 151.0, 213.7, 303.0, 896.8]"
0.5,0.0,Albany,12186,3,"[46.9, 59.7, 71.0, 88.4, 97.2, 111.8, 128.5, 160.5, 299.8, 1169.0]"
0.5,0.0,Albany,12186,4,"[78.0, 88.0, 102.1, 131.1, 165.4, 195.7, 223.3, 261.4, 310.3, 2623.9]"
0.5,0.0,Albany,12186,5,"[53.0, 63.0, 86.0, 104.2, 120.7, 139.2, 172.3, 211.7, 264.1, 2224.4]"
0.5,0.0,Albany,12186,6,"[62.1, 75.5, 92.8, 129.1, 154.0, 189.2, 211.6, 247.1, 301.5, 1336.9]"
0.5,0.0,Albany,12186,7,"[104.8, 117.5, 132.0, 148.0, 181.4, 206.2, 244.3, 285.1, 355.0, 2095.6]"
0.5,0.0,Albany,12186,8,"[57.2, 63.9, 69.2, 78.1, 89.8, 107.5, 130.1, 160.9, 254.9, 1272.2]"
0.5,0.0,Albany,12186,9,"[26.2, 32.3, 55.4, 72.6, 107.3, 126.0, 155.6, 220.5, 267.7, 1627.1]"
0.5,0.0,Albany,12186,10,"[44.6, 56.4, 68.8, 89.2, 120.3, 146.2, 176.0, 235.9, 306.0, 1766.7]"
0.5,0.0,Albany,12186,11,"[65.7, 77.8, 94.0, 110.8, 127.6, 139.9, 167.0, 208.9, 298.4, 1710.2]"
0.5,0.0,Albany,12186,12,"[90.5, 105.5, 128.6, 138.1, 152.0, 167.5, 206.7, 301.7, 378.6, 3224.5]"
0.5,0.0,Albany,12186,13,"[33.9, 46.8, 59.0, 89.1, 112.4, 126.6, 141.5, 180.2, 246.4, 1180.2]"
0.5,0.0,Albany,12186,14,"[44.9, 59.8, 71.7, 83.5, 92.3, 108.5, 129.0, 184.2, 269.1, 5810.9]"
0.5,0.0,Albany,12186,15,"[64.2, 74.1, 89.1, 123.7, 149.8, 181.3, 204.2, 238.1, 329.2, 1669.4]"
